SKU,MEDIDA,MARCA,MODELO,UNIDAD,X2,X4,WEB,Columna1,PROMO,INSTALACION,Columna 1
14513ROADMP28,145R13C,ROADMARCH,PRIMEVAN 28,40.000,,150.000,42.900,,,Sí,44.900
14513NEX321,145R13C,NEXEN,CP321,,,199.600,49.900,4,LIQUIDACIÓN,Sí,59.900
1457012ROADT01,145/70R12,ROADX,TAXI-T01T,30.000,,,29.900,,,Sí,29.900
,145/70R13,LING LONG,R701,35.000,,130.000,34.900,,,Sí,37.900
15512MIRAMR30,155R12LT,MIRAGE,MR300,37.000,,140.000,36.900,,,Sí,39.900
15512ROADMP28,155R12LT,ROADMARCH,PRIMEVAN 28,37.000,,140.000,36.900,,,Sí,39.900
,155R12C,SONIX,SUPERVAN S1,40.000,,150.000,39.900,,,Sí,42.900
15513LONG901,155R13C,LONGWAY,ZT901,38.000,,150.000,37.900,,,Sí,39.900
,155R13C,WINDFORCE,MILEMAX,40.000,,155.000,37.900,,,Sí,44.900
1556014ROADMP66,155/60R14,ROADMARCH,PRIMESTAR 66,40.000,,140.000,36.900,,,Sí,39.900
1556513MIRAMR16,155/65R13,MIRAGE,MR166,32.000,,120.000,29.900,,,Sí,34.900
,155/65R13,ROADWING,RW581,30.000,,,29.900,,,Sí,34.900
,155/65R13,GOODRIDE,RP28,40.000,,150.000,39.900,,,Sí,42.900
1556514KETE277,155/65R14,KETER,KT277,,59.800,,29.900,2,LIQUIDACIÓN,Sí,34.900
1556514ROADMEC99,155/65R14,ROADMARCH,ECOPRO 99,35.000,,130.000,33.900,,,Sí,35.900
1556514ROADH11,155/65R14,ROADX,H11,40.000,,155.000,43.900,,,Sí,46.900
1557012MIRAMR16,155/70R12,MIRAGE,MR166,32.000,,120.000,31.900,,,Sí,34.900
,155/70R13,SONIX,ECOPRO 99,33.000,,125.000,31.900,,,Sí,34.900
1557013ROADH11,155/70R13,ROADX,H11,40.000,,150.000,39.900,,,Sí,42.900
,155/70R13,GOODRIDE,RP28,37.000,,140.000,37.900,,,Sí,39.900
,155/70R14,TRACMAX,TX5,40.000,,150.000,38.900,,,Sí,41.900
16513LONG101,165R13C,LONGWAY,ZT101,43.000,,170.000,43.900,,,Sí,46.900
,165R14C,SAILWIN,PRIMEVAN 28,50.000,,190.000,49.900,,,Sí,54.900
16514QUESTC31R,165R14C,ROADX,,55.000,,,59.900,,,Sí,63.900
