SKU;MEDIDA;MARCA;MODELO;UNIDAD;X2;X4;WEB;Columna1;PROMO;INSTALACION;Columna 1
;145R13C;ROADMARCH;PRIMEVAN 28;40.000;;155.000;42.900;;;Sí;44.900
;145R13C;NEXEN;CP321;50.000;;190.000;49.900;;;Sí;59.900
;145/70R12;ROADX;TAXI-T01T;30.000;;;29.900;;;Sí;29.900
;145/70R13;LING LONG;R701;35.000;;135.000;34.900;;;Sí;37.900
;145/70R13;ROADX;H11;35.000;;135.000;34.900;;;Sí;39.900
;155R12LT;MIRAGE;MR300;37.000;;140.000;36.900;;;Sí;39.900
;155R12LT;ROADMARCH;PRIMEVAN 28;37.000;;140.000;36.900;;;Sí;42.900
;155R12C;SONIX;SUPERVAN S1;40.000;;150.000;39.900;;;Sí;39.900
;155R13C;WINDFORCE;MILEMAX;40.000;;155.000;37.900;;;Sí;44.900
;155/60R14;ROADMARCH;PRIMESTAR 66;40.000;;140.000;36.900;;;Sí;39.900
;155/65R13;ROADWING;RW581;30.000;;;29.900;;;Sí;34.900
;155/65R13;GOODRIDE;RP28;40.000;;155000;39.900;;;Sí;34.900
;155/65R14;KETER;KT277;;60000;;24.900;;;Sí;42.900
;155/65R14;ROADMARCH;ECOPRO 99;35.000;;130000;31.900;;;Sí;34.900
;155/65R14;ROADX;H11;40.000;;155.000;39.900;;;Sí;35.900
;155/70R12;MIRAGE;MR166;32.000;;120.000;31.900;;;Sí;46.900
;155/70R13;ROADWING;R581;33.000;;125.000;29.900;;;Sí;34.900
;155/70R13;ROADX;H11;40.000;;150.000;37.900;;;Sí;34.900
;155/70R13;GOODRIDE;RP28;37.000;;140.000;37.900;;;Sí;42.900
;155/70R14;TRACMAX;TX5;40.000;;155.000;36.900;;;Sí;39.900
;165R13C;LONGWAY;ZT101;43.000;;170.000;41.900;;;Sí;41.900
;165R14C;SONIX;PRIMEVAN 28;50.000;;195.000;49.900;;;Sí;46.900
;165R14C;ROADX;;55.000;;;59.900;;;Sí;54.900
;165/55R14;SONIX;LZEAL 56;45.000;;170000;44.900;;;Sí;63.900
;165/55R15;SONIX;PRIMESTAR 66;50.000;;190.000;44.900;;;Sí;49.900
;165/60R14;MIRAGE;MR166;35.000;;130.000;32.900;;;Sí;54.900
;165/60R14;GOODRIDE;RP 28;40.000;;155.000;39.900;;;Sí;37.900
;165/60R14;NEXEN;NPRIZ GX;50.000;;180.000;44.900;;;Sí;43.900
;165/60R14;FALKEN;SN832;60.000;;230.000;59.900;;;Sí;49.900
;165/65R13;ROADX;H11;40.000;;155.000;41.900;;;Sí;74.900
;165/65R13;SONIX;ECOPRO 99;35.000;;130.000;32.900;;;Sí;44.900
;165/65R14;NEXEN;NPRIZ GX;50.000;;180.000;44.900;;;Sí;39.900
;165/65R14;ROADWING;RW581;37.000;;140.000;34.900;;;Sí;49.900
;165/65R14;ROADX;H11;40.000;;155.000;37.900;;;Sí;39.900
;165/65R14;GOODRIDE;RP 28;40.000;;155.000;37.900;;;Sí;42.900
;165/65R15;INTERTRAC;;45.000;;175.000;42.900;;;Sí;41.900
;165/70R12;LING LONG;L770;42.000;;160.000;37.900;;;Sí;49.900
;165/70R13;SONIX;XCOMFORT 57;33.000;;125.000;31.900;;;Sí;44.900
;165/70R13;GOODRIDE;RP 28;40.000;;155.000;39.900;;;Sí;37.900
;165/70R13C;ROADMARCH;PRIMEVAN 28;45.000;;170.000;44.900;;;Sí;44.900
;165/70R14;SONIX;ECOPRO 99;37.000;;140.000;34.900;;;Sí;49.900
;165/70R14;GOODRIDE;RP 28;42.000;;160.000;42.900;;;Sí;39.900
;165/70R14;SONIX;XCOMFORT 57;42.000;;160.000;39.900;;;Sí;44.900
;165/70R14;NEXEN;NPRIZ GX;50.000;;180.000;44.900;;;Sí;49.900
;165/80R14;ROADX;H11;50.000;;190.000;49.900;;;Sí;49.900
;175R14C;WINDFORCE;MILEMAX;60.000;;230.000;57.900;;;Sí;52.900
;175/50R15;ROADX;H03;50.000;;190.000;49.900;;;Sí;64.900
